word,War_and_Peace_count,War_and_Peace_per10k,Anna_Karenina_count,Anna_Karenina_per10k
perspired,3,0.10020776409756228,0,0.0
succeeded,21,0.701454348682936,22,1.2781705892947401
reborn,1,0.03340258803252076,0,0.0
evo,6,0.20041552819512456,0,0.0
receipt,6,0.20041552819512456,4,0.2323946525990437
cuisse,1,0.03340258803252076,0,0.0
they'd,4,0.13361035213008304,5,0.2904933157488046
challenges,1,0.03340258803252076,0,0.0
department,6,0.20041552819512456,29,1.6848612313430669
hieroglyphics,1,0.03340258803252076,3,0.17429598944928276
furiously,3,0.10020776409756228,0,0.0
flag,10,0.3340258803252076,1,0.05809866314976093
volley,2,0.06680517606504152,0,0.0
lenka's,2,0.06680517606504152,0,0.0
swoon,2,0.06680517606504152,0,0.0
magistrates,0,0.0,1,0.05809866314976093
wedlock,0,0.0,1,0.05809866314976093
disperse,13,0.4342336444227699,0,0.0
mountains,8,0.2672207042601661,2,0.11619732629952186
apartments,13,0.4342336444227699,1,0.05809866314976093
forelegs,2,0.06680517606504152,0,0.0
intervening,1,0.03340258803252076,0,0.0
sports,0,0.0,2,0.11619732629952186
chaos,1,0.03340258803252076,2,0.11619732629952186
commander,288,9.619945353365978,1,0.05809866314976093
decline,7,0.2338181162276453,3,0.17429598944928276
magic,5,0.1670129401626038,1,0.05809866314976093
devouring,0,0.0,1,0.05809866314976093
h,171,5.711842553561049,3,0.17429598944928276
mounting,5,0.1670129401626038,2,0.11619732629952186
undergraduate,1,0.03340258803252076,0,0.0
movement,187,6.246283962081383,37,2.1496505365411545
ant,9,0.3006232922926868,0,0.0
trades,0,0.0,1,0.05809866314976093
louse,1,0.03340258803252076,0,0.0
reasserted,0,0.0,1,0.05809866314976093
tinder,1,0.03340258803252076,0,0.0
geese,0,0.0,2,0.11619732629952186
fancied,11,0.3674284683577283,52,3.021130483787568
gliding,6,0.20041552819512456,0,0.0
belabored,1,0.03340258803252076,0,0.0
epaulettes,3,0.10020776409756228,0,0.0
monster,5,0.1670129401626038,1,0.05809866314976093
affecting,3,0.10020776409756228,5,0.2904933157488046
diese,1,0.03340258803252076,0,0.0
synonymous,1,0.03340258803252076,0,0.0
fat,27,0.9018698768780605,29,1.6848612313430669
diplomacy,3,0.10020776409756228,1,0.05809866314976093
secr,1,0.03340258803252076,1,0.05809866314976093
prowl,1,0.03340258803252076,0,0.0
cigars,1,0.03340258803252076,4,0.2323946525990437
sheets,2,0.06680517606504152,4,0.2323946525990437
bedside,0,0.0,6,0.3485919788985655
sim's,1,0.03340258803252076,0,0.0
recur,1,0.03340258803252076,0,0.0
cal,32,1.0688828170406643,0,0.0
reflector,0,0.0,1,0.05809866314976093
bezique,0,0.0,1,0.05809866314976093
crumbs,0,0.0,1,0.05809866314976093
intrusted,0,0.0,3,0.17429598944928276
coats,12,0.40083105639024913,18,1.0457759366956967
ascertaining,1,0.03340258803252076,1,0.05809866314976093
courtesy,4,0.13361035213008304,5,0.2904933157488046
pregnancies,2,0.06680517606504152,0,0.0
coiling,1,0.03340258803252076,0,0.0
disbelief,0,0.0,4,0.2323946525990437
chaff,0,0.0,1,0.05809866314976093
snya,1,0.03340258803252076,0,0.0
hm,10,0.3340258803252076,0,0.0
relented,0,0.0,1,0.05809866314976093
philimonovna,0,0.0,13,0.755282620946892
jack,1,0.03340258803252076,0,0.0
kann,2,0.06680517606504152,0,0.0
storeroom,2,0.06680517606504152,1,0.05809866314976093
malthus's,0,0.0,1,0.05809866314976093
hearing,75,2.5051941024390567,60,3.4859197889856555
homestead,4,0.13361035213008304,0,0.0
pa,4,0.13361035213008304,0,0.0
sledge,0,0.0,26,1.510565241893784
efforts,45,1.503116461463434,26,1.510565241893784
seventeenth,2,0.06680517606504152,0,0.0
suites,7,0.2338181162276453,0,0.0
kronq,1,0.03340258803252076,0,0.0
earthwork,4,0.13361035213008304,0,0.0
sitting,221,7.381971955187088,146,8.482404819865096
see,734,24.517499615870236,616,35.78877650025273
hungry,24,0.8016621127804983,18,1.0457759366956967
seemed,583,19.473708822959605,295,17.139105629179472
manager,3,0.10020776409756228,3,0.17429598944928276
handkerchief,40,1.3361035213008303,15,0.8714799472464139
muscles,3,0.10020776409756228,12,0.697183957797131
fuss,7,0.2338181162276453,5,0.2904933157488046
fallen,55,1.8371423417886417,26,1.510565241893784
ambassadors,3,0.10020776409756228,0,0.0
contemplating,0,0.0,1,0.05809866314976093
bridled,2,0.06680517606504152,0,0.0
gingerbread,3,0.10020776409756228,0,0.0
cooked,3,0.10020776409756228,1,0.05809866314976093
wash,5,0.1670129401626038,10,0.5809866314976092
scarlatina,0,0.0,8,0.4647893051980874
serfdom,0,0.0,6,0.3485919788985655
plateful,1,0.03340258803252076,0,0.0
currant,0,0.0,1,0.05809866314976093
pluie,1,0.03340258803252076,0,0.0
desecrating,0,0.0,1,0.05809866314976093
pre,2,0.06680517606504152,2,0.11619732629952186
ronde,1,0.03340258803252076,0,0.0
katka,0,0.0,1,0.05809866314976093
working,18,0.6012465845853736,45,2.6144398417392414
returned,146,4.876777852748031,26,1.510565241893784
soothing,4,0.13361035213008304,7,0.40669064204832645
beef,3,0.10020776409756228,4,0.2323946525990437
guidance,7,0.2338181162276453,6,0.3485919788985655
countesses,1,0.03340258803252076,0,0.0
cha,0,0.0,1,0.05809866314976093
rulers,17,0.5678439965528529,0,0.0
halls,2,0.06680517606504152,0,0.0
dulness,0,0.0,1,0.05809866314976093
mituh,0,0.0,2,0.11619732629952186
gracieux,1,0.03340258803252076,0,0.0
unit,3,0.10020776409756228,1,0.05809866314976093
inherit,4,0.13361035213008304,0,0.0
maintain,13,0.4342336444227699,7,0.40669064204832645
haycocks,0,0.0,5,0.2904933157488046
recognizing,31,1.0354802290081435,13,0.755282620946892
chapel,6,0.20041552819512456,0,0.0
tool,4,0.13361035213008304,1,0.05809866314976093
despotism,1,0.03340258803252076,0,0.0
enjoyed,18,0.6012465845853736,16,0.9295786103961748
resolution,20,0.6680517606504152,8,0.4647893051980874
sappy,2,0.06680517606504152,0,0.0
momenta,1,0.03340258803252076,0,0.0
strolled,1,0.03340258803252076,0,0.0
bravo,5,0.1670129401626038,5,0.2904933157488046
impurity,1,0.03340258803252076,0,0.0
diagnosed,1,0.03340258803252076,0,0.0
haste,25,0.835064700813019,53,3.0792291469373287
carting,6,0.20041552819512456,3,0.17429598944928276
daddy,6,0.20041552819512456,0,0.0
patronizes,0,0.0,1,0.05809866314976093
wittily,1,0.03340258803252076,1,0.05809866314976093
laborers,1,0.03340258803252076,34,1.9753545470918714
incurring,2,0.06680517606504152,0,0.0
intercourse,5,0.1670129401626038,1,0.05809866314976093
loses,5,0.1670129401626038,0,0.0
able,107,3.5740769194797215,49,2.8468344943382853
ferreting,0,0.0,1,0.05809866314976093
immense,40,1.3361035213008303,30,1.7429598944928277
streamers,2,0.06680517606504152,0,0.0
inertia,2,0.06680517606504152,2,0.11619732629952186
completed,8,0.2672207042601661,2,0.11619732629952186
thoughtfully,7,0.2338181162276453,1,0.05809866314976093
threats,3,0.10020776409756228,0,0.0
something,601,20.074955407544977,432,25.09862248069672
intelligible,4,0.13361035213008304,2,0.11619732629952186
faithlessness,1,0.03340258803252076,0,0.0
insurmountably,1,0.03340258803252076,0,0.0
backwash,2,0.06680517606504152,0,0.0
cotillions,1,0.03340258803252076,0,0.0
innermost,1,0.03340258803252076,0,0.0
mam,7,0.2338181162276453,0,0.0
infant's,1,0.03340258803252076,0,0.0
adr,4,0.13361035213008304,0,0.0
pawns,1,0.03340258803252076,0,0.0
excuses,4,0.13361035213008304,1,0.05809866314976093
inscrutable,1,0.03340258803252076,0,0.0
fumbled,0,0.0,1,0.05809866314976093
held,142,4.743167500617948,58,3.3697224626861337
porter,18,0.6012465845853736,52,3.021130483787568
biceps,0,0.0,1,0.05809866314976093
mental,29,0.968675052943102,22,1.2781705892947401
doubtfully,2,0.06680517606504152,1,0.05809866314976093
vehicles,19,0.6346491726178944,0,0.0
