word,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
revolution,3.8705653726886826,0.8016621127804983,0.3485919788985655
shots,3.8705653726886826,0.8016621127804983,0.3485919788985655
accord,3.8705653726886826,0.8016621127804983,0.3485919788985655
mile,3.8705653726886826,0.8016621127804983,0.3485919788985655
groups,3.8705653726886826,0.8016621127804983,0.3485919788985655
greatest,3.837235940783584,1.3695061093333512,0.755282620946892
across,3.8298005246556066,3.874700211772408,2.788735831188524
listen,3.8115368890005996,2.972830334894348,2.0334532102416323
purpose,3.7861974143201493,1.670129401626038,0.9876772735459357
cross,3.76599004426982,2.471791514406536,1.6267625681933058
threw,3.7582051160784324,2.0375578699837664,1.2781705892947401
trembling,3.7271693471154705,1.4363112853983928,0.8133812840966529
companion,3.726128240436081,1.2024931691707472,0.6390852946473701
stranger,3.726128240436081,1.2024931691707472,0.6390852946473701
managed,3.726128240436081,1.2024931691707472,0.6390852946473701
began,3.7121052759191357,23.983058207349906,21.206012049662736
inside,3.6973138368017135,0.701454348682936,0.2904933157488046
gypsy,3.6895589182212722,0.3006232922926868,0.05809866314976093
undress,3.6895589182212722,0.3006232922926868,0.05809866314976093
refrained,3.6895589182212722,0.3006232922926868,0.05809866314976093
confirm,3.6895589182212722,0.3006232922926868,0.05809866314976093
distributing,3.6895589182212722,0.3006232922926868,0.05809866314976093
expose,3.6895589182212722,0.3006232922926868,0.05809866314976093
wolves,3.6895589182212722,0.3006232922926868,0.05809866314976093
placing,3.6895589182212722,0.3006232922926868,0.05809866314976093
ultimate,3.6895589182212722,0.3006232922926868,0.05809866314976093
supplied,3.6895589182212722,0.3006232922926868,0.05809866314976093
reluctant,3.6895589182212722,0.3006232922926868,0.05809866314976093
scoundrels,3.6895589182212722,0.3006232922926868,0.05809866314976093
retained,3.6895589182212722,0.3006232922926868,0.05809866314976093
lid,3.6895589182212722,0.3006232922926868,0.05809866314976093
accompany,3.6895589182212722,0.3006232922926868,0.05809866314976093
gallery,3.6895589182212722,0.3006232922926868,0.05809866314976093
nevertheless,3.6895589182212722,0.3006232922926868,0.05809866314976093
tobacco,3.6895589182212722,0.3006232922926868,0.05809866314976093
mingling,3.6895589182212722,0.3006232922926868,0.05809866314976093
treachery,3.6895589182212722,0.3006232922926868,0.05809866314976093
design,3.6895589182212722,0.3006232922926868,0.05809866314976093
indicate,3.6895589182212722,0.3006232922926868,0.05809866314976093
slammed,3.6895589182212722,0.3006232922926868,0.05809866314976093
tat,3.6895589182212722,0.3006232922926868,0.05809866314976093
presenting,3.6895589182212722,0.3006232922926868,0.05809866314976093
farthest,3.6895589182212722,0.3006232922926868,0.05809866314976093
graciously,3.6895589182212722,0.3006232922926868,0.05809866314976093
angle,3.6895589182212722,0.3006232922926868,0.05809866314976093
printed,3.6895589182212722,0.3006232922926868,0.05809866314976093
fame,3.6895589182212722,0.3006232922926868,0.05809866314976093
en,3.6895589182212722,0.3006232922926868,0.05809866314976093
victorious,3.6895589182212722,0.3006232922926868,0.05809866314976093
fetched,3.6895589182212722,0.3006232922926868,0.05809866314976093
